Ticker,Name,Price,Signal
A,"Agilent Technologies, Inc.",115.55,NONE
AAPL,Apple Inc.,271.35,NONE
ABBV,AbbVie Inc.,211.32,NONE
ABNB,"Airbnb, Inc.",140.36,NONE
ABT,Abbott Laboratories,90.79,NONE
ACGL,Arch Capital Group Ltd.,94.46,NONE
ACN,Accenture plc,178.71,NONE
ADBE,Adobe Inc.,246.1,NONE
ADI,"Analog Devices, Inc.",402.26,NONE
ADM,Archer-Daniels-Midland Company,74.54,NONE
ADP,"Automatic Data Processing, Inc.",211.94,NONE
ADSK,"Autodesk, Inc.",237.0,NONE
AEE,Ameren Corporation,113.65,NONE
AEP,American Electric Power Company,137.11,NONE
AES,The AES Corporation,14.45,NONE
AFL,AFLAC Incorporated,113.67,NONE
AIG,"American International Group, I",74.8,NONE
AIZ,"Assurant, Inc.",236.27,NONE
AJG,Arthur J. Gallagher & Co.,206.4,NONE
AKAM,"Akamai Technologies, Inc.",102.98,NONE
ALB,Albemarle Corporation,196.7,BUY
ALGN,"Align Technology, Inc.",176.01,NONE
ALL,Allstate Corporation (The),217.26,NONE
ALLE,Allegion plc,137.48,NONE
AMAT,"Applied Materials, Inc.",394.49,NONE
AMCR,Amcor plc,38.04,NONE
AMD,"Advanced Micro Devices, Inc.",354.49,NONE
AME,"AMETEK, Inc.",235.5,NONE
AMGN,Amgen Inc.,346.25,NONE
AMP,"Ameriprise Financial, Inc.",474.79,NONE
AMT,American Tower Corporation (REI,182.71,NONE
AMZN,"Amazon.com, Inc.",265.06,NONE
ANET,"Arista Networks, Inc.",172.71,NONE
AON,Aon plc,311.65,NONE
AOS,A.O. Smith Corporation,61.84,NONE
APA,APA Corporation,40.73,NONE
APD,"Air Products and Chemicals, Inc",300.05,NONE
APH,Amphenol Corporation,147.27,NONE
APTV,Aptiv PLC,60.26,NONE
ARE,Alexandria Real Estate Equities,40.51,NONE
ATO,Atmos Energy Corporation,189.98,NONE
AVB,"AvalonBay Communities, Inc.",183.0,NONE
AVGO,Broadcom Inc.,417.43,NONE
AVY,Avery Dennison Corporation,163.93,NONE
AWK,"American Water Works Company, I",128.42,NONE
AXON,"Axon Enterprise, Inc.",401.76,NONE
AXP,American Express Company,323.05,NONE
AZO,"AutoZone, Inc.",3704.03,NONE
BA,Boeing Company (The),229.03,NONE
BAC,Bank of America Corporation,53.46,NONE
BALL,Ball Corporation,61.08,NONE
BAX,Baxter International Inc.,17.58,NONE
BBWI,"Bath & Body Works, Inc.",19.44,NONE
BBY,"Best Buy Co., Inc.",60.49,NONE
BDX,"Becton, Dickinson and Company",149.04,NONE
BEN,"Franklin Resources, Inc.",29.97,NONE
BG,Bunge Limited,127.07,NONE
BIIB,Biogen Inc.,189.28,NONE
BIO,"Bio-Rad Laboratories, Inc.",280.12,NONE
BK,The Bank of New York Mellon Cor,134.37,NONE
BKNG,Booking Holdings Inc. Common St,168.36,NONE
BKR,Baker Hughes Company,69.67,NONE
BLK,"BlackRock, Inc.",1065.6,SELL
BMY,Bristol-Myers Squibb Company,60.59,NONE
BR,"Broadridge Financial Solutions,",153.98,NONE
BRO,"Brown & Brown, Inc.",60.15,NONE
BSX,Boston Scientific Corporation,57.61,NONE
BWA,BorgWarner Inc.,56.97,NONE
BX,Blackstone Inc.,125.58,NONE
BXP,"BXP, Inc.",58.46,NONE
C,"Citigroup, Inc.",127.98,NONE
CAG,"ConAgra Brands, Inc.",14.35,NONE
CAH,"Cardinal Health, Inc.",192.88,NONE
